id,site_id,site_name,event_name,year,description,lat,lon,cluster
226,76,Mannar Fort,British Administration,1800 AD,Used as administrative center.,8.976,79.909,6
227,77,Thanthirimale Stone Buddha Carving,Creation of Statue,700 AD,Large seated statue carved into cliff.,8.6,80.183,2
228,77,Thanthirimale Stone Buddha Carving,Weathering Damage,1500 AD,Statue exposed to harsh climate.,8.6,80.183,2
229,77,Thanthirimale Stone Buddha Carving,Modern Preservation,1990 AD,Surface chemical protection applied.,8.6,80.183,2
230,78,Nagadeepa Chaitya Construction,Stupa Building Begins,300 AD,Historic stupa constructed over earlier site.,9.51,79.78,6
231,78,Nagadeepa Chaitya Construction,Renovation by Kings,1500 AD,Restored during Jaffna kingdom era.,9.51,79.78,6
232,78,Nagadeepa Chaitya Construction,Post-War Reconstruction,2011 AD,Restored after civil conflict.,9.51,79.78,6
233,79,Kadurupokuna Monastery,Founding Period,200 BC,Forest monks meditated in caves.,6.54,81.0,0
234,79,Kadurupokuna Monastery,Stupa Construction,500 AD,Brick stupa built near cave shelter.,6.54,81.0,0
235,79,Kadurupokuna Monastery,Rediscovery,1995 AD,Artifacts found in abandoned shrines.,6.54,81.0,0
236,80,Gona Kanda Monastery,Monastic Usage,100 AD,Used as mountain hermitage.,6.43,80.4,3
237,80,Gona Kanda Monastery,Wall Paintings Added,1400 AD,Murals painted during Kandyan era.,6.43,80.4,3
238,80,Gona Kanda Monastery,Conservation,1982 AD,Temple caves reinforced.,6.43,80.4,3
239,81,Egodagama Ancient Temple,Monks Reside,300 AD,Used as local monastery.,6.88,80.13,1
240,81,Egodagama Ancient Temple,Stupa Restoration,1200 AD,Rebuilt by local rulers.,6.88,80.13,1
241,81,Egodagama Ancient Temple,Rediscovery,1960 AD,Temple ruins documented.,6.88,80.13,1
242,82,Palapathwala Ancient Temple,Founding of Shrine,500 AD,Built during early medieval period.,7.47,80.64,7
243,82,Palapathwala Ancient Temple,Murals Added,1400 AD,Decorated with Kandyan-style paintings.,7.47,80.64,7
244,82,Palapathwala Ancient Temple,Conservation,1980 AD,Protected under archaeology act.,7.47,80.64,7
245,83,Atadage Polonnaruwa,Temple of Tooth Construction,1070 AD,Built by King Vijayabahu I.,7.94,81.0,4
246,83,Atadage Polonnaruwa,Gold Relic Chamber Added,1100 AD,Precious relics stored.,7.94,81.0,4
247,83,Atadage Polonnaruwa,Archaeological Excavation,1900 AD,British archaeologists exposed ruins.,7.94,81.0,4
248,84,Hetadage Polonnaruwa,Construction of Relic House,1153 AD,Built by Parakramabahu I.,7.94,81.002,4
249,84,Hetadage Polonnaruwa,Stone Carving Work,1155 AD,Ornamental carvings added.,7.94,81.002,4
250,84,Hetadage Polonnaruwa,Restoration,1945 AD,Ruins preserved.,7.94,81.002,4
251,85,Gal Potha (Stone Book),Inscription Creation,1150 AD,Contains long inscription praising King Nissanka Malla.,7.941,81.001,4
252,85,Gal Potha (Stone Book),Transport of Monolith,1150 AD,Massive stone transported from Mihintale.,7.941,81.001,4
253,85,Gal Potha (Stone Book),Conservation,1980 AD,Surface cleaned & protected.,7.941,81.001,4
254,86,Lankatilaka Polonnaruwa,Construction,1150 AD,Larger shrine built by Parakramabahu I.,7.938,81.0015,4
255,86,Lankatilaka Polonnaruwa,Giant Buddha Statue Added,1153 AD,Standing statue placed inside.,7.938,81.0015,4
256,86,Lankatilaka Polonnaruwa,Restoration,1970 AD,Walls reinforced.,7.938,81.0015,4
257,87,Thivanka Image House,Construction,1155 AD,Named after 'three-bend' Buddha statue.,7.9375,81.005,4
258,87,Thivanka Image House,Mural Paintings Added,1155 AD,Colorful murals painted inside.,7.9375,81.005,4
259,87,Thivanka Image House,Restoration,2010 AD,Murals protected with modern coatings.,7.9375,81.005,4
260,88,Rankoth Vehera,Construction by Nissanka Malla,1190 AD,Large stupa symbolizing Polonnaruwa era.,7.946,81.0,4
261,88,Rankoth Vehera,Stone Paving Added,1200 AD,Courtyard paved for pilgrims.,7.946,81.0,4
262,88,Rankoth Vehera,Renovation,1980 AD,Dome structure strengthened.,7.946,81.0,4
263,89,Kiri Vehera Polonnaruwa,Stupa Construction,1150 AD,Queen Subhadra built white stupa.,7.9465,81.0008,4
264,89,Kiri Vehera Polonnaruwa,Rediscovery,1820 AD,Found buried in jungle.,7.9465,81.0008,4
265,89,Kiri Vehera Polonnaruwa,Restoration,1970 AD,Brickwork preserved.,7.9465,81.0008,4
266,90,Potgul Vihara Monastic Cells,Construction of Cells,1150 AD,Monks used circular meditation rooms.,7.939,81.002,4
267,90,Potgul Vihara Monastic Cells,Roof Decay,1500 AD,Original wooden roofs collapsed.,7.939,81.002,4
268,90,Potgul Vihara Monastic Cells,Archaeological Cleaning,1960 AD,Debris removed revealing chambers.,7.939,81.002,4
269,91,Medirigiriya Vatadage,Construction of Vatadage,700 AD,Circular relic house with stone pillars.,8.101,81.097,4
270,91,Medirigiriya Vatadage,Pillar Additions,900 AD,Outer ring pillars added.,8.101,81.097,4
271,91,Medirigiriya Vatadage,Conservation,1970 AD,Complex restored.,8.101,81.097,4
272,92,Mihintale Ambasthala Dagoba,Construction,300 AD,Built to mark meeting place of Mahinda Thera and King Devanampiyatissa.,8.35,80.5167,2
273,92,Mihintale Ambasthala Dagoba,Stairway Construction,800 AD,Stone stairway built by rulers.,8.35,80.5167,2
274,92,Mihintale Ambasthala Dagoba,Renovation,1950 AD,Whitewashed dome restored.,8.35,80.5167,2
275,93,Mihintale Kantaka Chetiya,Construction of Stupa,150 AD,One of earliest stupas with ornate carvings.,8.35,80.52,2
276,93,Mihintale Kantaka Chetiya,Elephant Frieze Added,300 AD,Decorative stone band carved.,8.35,80.52,2
277,93,Mihintale Kantaka Chetiya,Conservation,1980 AD,Restoration work done.,8.35,80.52,2
278,94,Mihintale Monastery Complex,Formation of Monastery,200 BC,Cradle of Buddhism in Sri Lanka.,8.35,80.516,2
279,94,Mihintale Monastery Complex,Teaching Activity,100 AD,Monks taught scriptures.,8.35,80.516,2
280,94,Mihintale Monastery Complex,Restoration,1970 AD,Ruins conserved.,8.35,80.516,2
281,95,Kasagala Raja Maha Vihara,Founding of Temple,100 BC,Built during early Anuradhapura period.,6.054,80.734,0
282,95,Kasagala Raja Maha Vihara,Kasagala Rock Inscription,100 AD,Inscription referencing donations discovered.,6.054,80.734,0
283,95,Kasagala Raja Maha Vihara,Restoration,1950 AD,Temple rebuilt using village donations.,6.054,80.734,0
284,96,Kirinda Rajamaha Viharaya,Legend of Queen Viharamahadevi,200 BC,Queen washed ashore at Kirinda.,6.213,81.331,0
285,96,Kirinda Rajamaha Viharaya,Temple Construction,600 AD,Shrine room built in her honor.,6.213,81.331,0
286,96,Kirinda Rajamaha Viharaya,Renovation,2000 AD,Temple restored after tsunami.,6.213,81.331,0
287,97,Yudaganawa Stupa,Construction by King Dutugemunu,100 BC,Built after battle between princes.,6.705,81.14,8
288,97,Yudaganawa Stupa,Expansion Period,300 AD,Stupa enlarged during medieval period.,6.705,81.14,8
289,97,Yudaganawa Stupa,Modern Restoration,2012 AD,Major conservation completed.,6.705,81.14,8
290,98,Kiri Vehera Kataragama,Buddha’s Visit Tradition,500 AD,Believed to mark Buddha’s visit to Kataragama.,6.413,81.333,0
291,98,Kiri Vehera Kataragama,Stupa Construction,600 AD,Large stupa built by regional kings.,6.413,81.333,0
292,98,Kiri Vehera Kataragama,Renovation,1980 AD,Restored dome and courtyard.,6.413,81.333,0
293,99,Dunhinda Waterfall Ruins,Monastic Buildings,1000 AD,Ruins near waterfall used by monks.,7.0,81.0667,8
294,99,Dunhinda Waterfall Ruins,Ritual Use,1400 AD,Shrines built by villagers.,7.0,81.0667,8
295,99,Dunhinda Waterfall Ruins,Rediscovery,1960 AD,Documented by archaeologists.,7.0,81.0667,8
296,100,Aluwihare Rock Temple,Construction Begins,900 AD,Important cave temple in Matale.,7.47,80.606,7
297,100,Aluwihare Rock Temple,Tripitaka Writing,1600 AD,Buddhist scriptures written on ola leaves.,7.47,80.606,7
298,100,Aluwihare Rock Temple,Modern Restoration,1980 AD,Temple complex restored.,7.47,80.606,7
299,101,Manal Aru Ancient Ruins,Early Settlement,1000 AD,Ruins indicate early Tamil-Buddhist coexistence.,8.4,80.95,10
300,101,Manal Aru Ancient Ruins,Stone Pillars Found,1955 AD,Pillars and foundations excavated.,8.4,80.95,10
301,102,Somawathiya Chaitya,Construction by Princess Somawathi,200 BC,Built to enshrine Buddha’s relic.,8.0,81.15,4
302,102,Somawathiya Chaitya,Forest Monastery Expansion,300 AD,Monastery expanded during Anuradhapura era.,8.0,81.15,4
303,102,Somawathiya Chaitya,Modern Restoration,1960 AD,Temple rebuilt after abandonment.,8.0,81.15,4
304,103,Deegawapi Stupa,Construction by Arahat Mahinda,200 BC,Built during early Buddhist propagation.,6.987,81.735,5
305,103,Deegawapi Stupa,King Saddhatissa Renovation,100 AD,Kings supported expansion.,6.987,81.735,5
306,103,Deegawapi Stupa,Conservation Work,1975 AD,Archaeology Dept restored structure.,6.987,81.735,5
307,104,Persian Wheel Well (Batticaloa),Construction by Arab Traders,900 AD,Mechanical water lifting system built.,7.7167,81.7,9
308,104,Persian Wheel Well (Batticaloa),Irrigation Usage,1000 AD,Well used for farming irrigation.,7.7167,81.7,9
309,104,Persian Wheel Well (Batticaloa),Recognition as Heritage,2000 AD,Declared a unique cultural monument.,7.7167,81.7,9
310,105,Batticaloa Portuguese Fort,Construction by Portuguese,1628 AD,Built for defense against Dutch.,7.717,81.701,9
311,105,Batticaloa Portuguese Fort,Dutch Capture,1638 AD,Dutch forces captured & modified fort.,7.717,81.701,9
312,105,Batticaloa Portuguese Fort,British Military Use,1800 AD,Used as administrative center.,7.717,81.701,9
313,106,Batticaloa Lighthouse,Construction,1913 AD,Built by British to aid coastal shipping.,7.7,81.7,9
314,106,Batticaloa Lighthouse,Renovation,1970 AD,Repainted & structurally reinforced.,7.7,81.7,9
315,106,Batticaloa Lighthouse,Electric Lighting Upgrade,1995 AD,Electric bulbs installed replacing old oil lamps.,7.7,81.7,9
316,107,Koneswaram Kovil (Trincomalee),Original Shrine Built,300 BC,Ancient Hindu shrine dedicated to Shiva.,8.568,81.233,10
317,107,Koneswaram Kovil (Trincomalee),Royal Patronage,500 AD,Supported by Tamil and Sinhala rulers.,8.568,81.233,10
318,107,Koneswaram Kovil (Trincomalee),Destruction by Portuguese,1624 AD,Temple demolished & relics plundered.,8.568,81.233,10
319,108,Fort Frederick Trincomalee,Construction by Portuguese,1624 AD,Built using stones from demolished Koneswaram Temple.,8.57,81.233,10
320,108,Fort Frederick Trincomalee,Dutch Capture,1639 AD,Dutch forces took control of fort.,8.57,81.233,10
321,108,Fort Frederick Trincomalee,British Occupation,1795 AD,Used as key naval base.,8.57,81.233,10
322,109,Lover’s Leap Cliff,Legend of Francina van Reed,1687 AD,Dutch woman jumped after lover’s departure.,8.568,81.233,10
323,109,Lover’s Leap Cliff,Viewing Point Established,1900 AD,Turned into lookout spot.,8.568,81.233,10
324,109,Lover’s Leap Cliff,Religious Offerings,2000 AD,Visitors leave offerings for blessings.,8.568,81.233,10
325,110,Kanniyai Hot Wells,Construction of Baths,500 AD,Seven hot wells built for ritual bathing.,8.6,81.233,10
326,110,Kanniyai Hot Wells,Renovation,1200 AD,Kandy kings renovated pools.,8.6,81.233,10
327,110,Kanniyai Hot Wells,Government Preservation,1983 AD,Area protected under archaeology act.,8.6,81.233,10
328,111,Seruwila Vihara Complex,Stupa Construction,200 BC,Built by King Kavantissa.,8.453,81.298,10
329,111,Seruwila Vihara Complex,Buddhist Revival,1930 AD,Temple revived by local devotees.,8.453,81.298,10
330,111,Seruwila Vihara Complex,Declared Sacred Area,1962 AD,Recognized as national heritage.,8.453,81.298,10
331,112,Kuchchaveli Ancient Ruins,Early Settlement,1000 AD,Ruins indicate multi-ethnic community.,8.8,81.1,10
332,112,Kuchchaveli Ancient Ruins,Ceramics Found,1200 AD,Pottery fragments discovered.,8.8,81.1,10
333,112,Kuchchaveli Ancient Ruins,Excavation,1990 AD,Survey teams mapped ruins.,8.8,81.1,10
334,113,Pigeon Island Fortress,Construction by Portuguese,1600 AD,Small fort built on island.,8.716,81.2,10
335,113,Pigeon Island Fortress,Dutch Takeover,1640 AD,Dutch strengthened the fortifications.,8.716,81.2,10
336,113,Pigeon Island Fortress,Declared National Park,2003 AD,Island turned into marine park.,8.716,81.2,10
337,114,Nilaveli Ancient Pillars,Building Construction,1100 AD,Stone pillars indicate ancient shrine.,8.716,81.2,10
338,114,Nilaveli Ancient Pillars,Rediscovery,1960 AD,Ruins cleaned during surveys.,8.716,81.2,10
339,114,Nilaveli Ancient Pillars,Conservation,1980 AD,Protected by archaeology dept.,8.716,81.2,10
340,115,Kanthale Tank,Construction by King Aggabodhi,600 AD,Large irrigational reservoir built.,8.35,81.0,10
341,115,Kanthale Tank,Bund Strengthening,900 AD,Earthen bund reinforced.,8.35,81.0,10
342,115,Kanthale Tank,Modern Rehabilitation,2010 AD,Dam repaired after floods.,8.35,81.0,10
343,116,Kudarappu Rock Inscription,Carving of Inscription,200 BC,Stone inscription referencing donations.,9.0,80.9,10
344,116,Kudarappu Rock Inscription,Rediscovery,1950 AD,Inscription found near abandoned village.,9.0,80.9,10
345,116,Kudarappu Rock Inscription,Conservation,1990 AD,Inscription surface reinforced.,9.0,80.9,10
346,117,Kadurana Ancient Forest Temple,Founding of Monastery,300 AD,Monks resided in forest caves.,7.15,80.12,1
347,117,Kadurana Ancient Forest Temple,Temple Expansion,900 AD,Shrine expanded during medieval period.,7.15,80.12,1
348,117,Kadurana Ancient Forest Temple,Modern Restoration,1985 AD,Major rebuilding efforts.,7.15,80.12,1
349,118,Ambalangoda Dutch Warehouse,Construction,1700 AD,Dutch colonial storage facility.,6.2333,80.05,3
350,118,Ambalangoda Dutch Warehouse,Commercial Use,1800 AD,Used for cinnamon storage.,6.2333,80.05,3
351,118,Ambalangoda Dutch Warehouse,Restoration,2005 AD,Warehouse turned into museum.,6.2333,80.05,3
352,119,Seenigama Temple,Construction,1300 AD,Built on small island off Hikkaduwa.,6.1566,80.0922,3
353,119,Seenigama Temple,Coastal Pilgrimage Expands,1500 AD,Temple becomes major coastal pilgrimage.,6.1566,80.0922,3
354,119,Seenigama Temple,Post-Tsunami Restoration,2005 AD,Temple rebuilt after 2004 tsunami.,6.1566,80.0922,3
355,120,Dodanduwa Ancient Tower,Construction Period,1400 AD,Built as watchtower over lagoon.,6.0961,80.135,3
356,120,Dodanduwa Ancient Tower,Chola Influence,1000 AD,Evidence of Indian trade influence.,6.0961,80.135,3
357,120,Dodanduwa Ancient Tower,Restoration,1980 AD,Minor repairs performed.,6.0961,80.135,3
358,121,Ranna Ancient Temple,Founding Period,500 AD,Old southern shrine established.,6.04,80.85,0
359,121,Ranna Ancient Temple,Mural Additions,1400 AD,Paintings added during Kandyan era.,6.04,80.85,0
360,121,Ranna Ancient Temple,Conservation,1970 AD,Temple protected by archaeology dept.,6.04,80.85,0
361,122,Kalametiya Ancient Ruins,Early Settlement,900 AD,Stone foundations found near lagoon.,6.045,80.88,0
362,122,Kalametiya Ancient Ruins,Ceramics Found,1200 AD,Pottery remains uncovered.,6.045,80.88,0
363,122,Kalametiya Ancient Ruins,Conservation,1980 AD,Area fenced off for protection.,6.045,80.88,0
364,123,Mulkirigala Rock Temple,Construction,300 AD,Built on large rock outcrop with caves.,6.064,80.699,0
365,123,Mulkirigala Rock Temple,Dutch Exploration,1750 AD,Dutch recorded murals and inscriptions.,6.064,80.699,0
366,123,Mulkirigala Rock Temple,Renovation,1980 AD,Temple complex restored.,6.064,80.699,0
367,124,Kahandamodara Ancient Port,Port Establishment,1000 AD,Used for regional trade.,6.07,80.85,0
368,124,Kahandamodara Ancient Port,Excavation Finds,1975 AD,Stone anchors & pottery found.,6.07,80.85,0
369,124,Kahandamodara Ancient Port,Conservation,2000 AD,Site protected by govt.,6.07,80.85,0
370,125,Godawaya Ancient Port,Port Activity Begins,200 AD,Major ancient maritime center.,6.19,80.95,0
371,125,Godawaya Ancient Port,Giant Customs Stone Found,2009 AD,Oldest customs duties inscription discovered.,6.19,80.95,0
372,125,Godawaya Ancient Port,Underwater Excavation,2010 AD,Shipwreck explorations begin.,6.19,80.95,0
373,126,Hambantota Gallows,Constructed by British,1800 AD,Public execution site.,6.1208,81.1264,0
374,126,Hambantota Gallows,Judicial Use,1850 AD,Used for capital punishments.,6.1208,81.1264,0
375,126,Hambantota Gallows,Preservation,2005 AD,Protected as colonial relic.,6.1208,81.1264,0
376,127,Katuwana Dutch Fort,Construction by Dutch,1645 AD,Inland defensive stronghold.,6.165,80.733,0
377,127,Katuwana Dutch Fort,Sinhalese Attack,1761 AD,Kandyan forces captured fort.,6.165,80.733,0
378,127,Katuwana Dutch Fort,Conservation,1980 AD,Walls reinforced.,6.165,80.733,0
379,128,Weerawila Ancient Temple,Founding Period,500 AD,Ancient monastery in southern region.,6.18,80.9,0
380,128,Weerawila Ancient Temple,Royal Support,800 AD,Kings donated land to temple.,6.18,80.9,0
381,128,Weerawila Ancient Temple,Conservation,1970 AD,Temple repaired.,6.18,80.9,0
382,129,Tissa Wewa Bund,Construction by King Kavantissa,200 BC,Built to irrigate Ruhuna kingdom.,6.266,80.808,0
383,129,Tissa Wewa Bund,Bund Strengthening,500 AD,Earthen embankment repaired.,6.266,80.808,0
384,129,Tissa Wewa Bund,Modern Restoration,2000 AD,Reinforced after heavy floods.,6.266,80.808,0
385,130,Yala Sithulpawwa Temple,Construction by King Kavantissa,200 BC,Large monastery deep inside Yala.,6.313,81.467,0
386,130,Yala Sithulpawwa Temple,Monastic Life,500 AD,Hosted hundreds of monks.,6.313,81.467,0
387,130,Yala Sithulpawwa Temple,Conservation,1960 AD,Temple ruins protected.,6.313,81.467,0
388,131,Bundala Ancient Ruins,Ancient Settlement,1000 AD,Ruins indicate early village culture.,6.2,81.2,0
389,131,Bundala Ancient Ruins,Pottery Found,1200 AD,Archaeologists uncovered clay figurines.,6.2,81.2,0
390,131,Bundala Ancient Ruins,Conservation,1995 AD,Site fenced and protected.,6.2,81.2,0
391,132,Magama Kota Vehera,Construction by King Kavantissa,200 BC,Important southern stupa.,6.25,81.2167,0
392,132,Magama Kota Vehera,Expansion Work,700 AD,Stupa expanded during medieval period.,6.25,81.2167,0
393,132,Magama Kota Vehera,Conservation,1980 AD,Temple renovated.,6.25,81.2167,0
394,133,Ritigala Forest Monastery,Founding Period,200 BC,Meditation retreat for monks in dense forest.,8.1,80.7,4
395,133,Ritigala Forest Monastery,Medicinal Plants Usage,500 AD,Monks used herbs for healing.,8.1,80.7,4
396,133,Ritigala Forest Monastery,Rediscovery,1872 AD,British rediscovered ruins.,8.1,80.7,4
397,134,Ritigala Stone Bridge,Bridge Construction,800 AD,Stone pillars used to cross water streams.,8.1,80.7,4
398,134,Ritigala Stone Bridge,Collapse Period,1500 AD,Bridge damaged due to floods.,8.1,80.7,4
399,134,Ritigala Stone Bridge,Conservation,1985 AD,Reinforcement done.,8.1,80.7,4
400,135,Namal Uyana Ancient Quarry,Mining Activity,900 AD,Pink quartz mountain used for sacred construction.,8.0333,80.4667,2
401,135,Namal Uyana Ancient Quarry,Buddhist Monastic Use,1100 AD,Quartz used for sacred monuments.,8.0333,80.4667,2
402,135,Namal Uyana Ancient Quarry,Conservation Declared,2005 AD,Protected as archaeological forest.,8.0333,80.4667,2
403,136,Kaludiya Pokuna (Dambulla),Construction of Reservoir,800 AD,Used as meditation retreat water source.,7.9,80.65,4
404,136,Kaludiya Pokuna (Dambulla),Monastic Settlement,1000 AD,Forest monastery flourished.,7.9,80.65,4
405,136,Kaludiya Pokuna (Dambulla),Archaeological Survey,1970 AD,Extensive mapping of ruins.,7.9,80.65,4
406,137,Menikdena Viharaya,Construction,800 AD,Ancient village temple near Dambulla.,7.8,80.7,4
407,137,Menikdena Viharaya,Kingdom Patronage,1200 AD,Kings funded expansions.,7.8,80.7,4
408,137,Menikdena Viharaya,Conservation,1990 AD,Temple restored.,7.8,80.7,4
409,138,Kandalama Reservoir,Construction by Kings,700 AD,Irrigation tank supporting agriculture.,7.8833,80.7,4
410,138,Kandalama Reservoir,Chola Influence,1000 AD,Found artifacts linking South Indian presence.,7.8833,80.7,4
411,138,Kandalama Reservoir,Modern Renovation,1992 AD,Tank rehabilitated.,7.8833,80.7,4
412,139,Pidurangala Rock Temple,Construction,500 AD,Temple built opposite Sigiriya.,7.956,80.749,4
413,139,Pidurangala Rock Temple,King Kashyapa Residence,477 AD,Monks relocated to Pidurangala.,7.956,80.749,4
414,139,Pidurangala Rock Temple,Restoration Work,1960 AD,Caves renovated.,7.956,80.749,4
415,140,Dambulla Ironwood Forest (Na Uyana),Creation of Ancient Forest Park,1000 AD,Sacred grove preserved by monks.,7.9,80.65,4
416,140,Dambulla Ironwood Forest (Na Uyana),Kaṭhāva Traditions,1200 AD,Used as monastic meditation site.,7.9,80.65,4
417,140,Dambulla Ironwood Forest (Na Uyana),Declared Protected,2001 AD,Forest included in conservation zone.,7.9,80.65,4
418,141,Arankele Monastery,Construction,500 AD,Forest monastery for meditation monks.,7.4,80.35,7
419,141,Arankele Monastery,Stone Walkways Built,800 AD,Stone paths laid for walking meditation.,7.4,80.35,7
420,141,Arankele Monastery,Conservation,1970 AD,Ruins preserved and mapped.,7.4,80.35,7
421,142,Asgiriya Raja Maha Viharaya (Gampola),Construction,1300 AD,Temple built during Gampola Kingdom.,7.1667,80.6,7
422,142,Asgiriya Raja Maha Viharaya (Gampola),Murals Added,1500 AD,Paintings created in Kandyan style.,7.1667,80.6,7
423,142,Asgiriya Raja Maha Viharaya (Gampola),Restoration,1980 AD,Archaeology team restored murals.,7.1667,80.6,7
424,143,Lankatilaka Vihara (Gampola),Construction by King Bhuvanekabahu IV,1344 AD,Majestic temple built on rock.,7.234,80.5649,7
425,143,Lankatilaka Vihara (Gampola),Artistic Enhancements,1500 AD,Frescoes in Kandyan tradition.,7.234,80.5649,7
426,143,Lankatilaka Vihara (Gampola),Conservation Project,1990 AD,Temple structure strengthened.,7.234,80.5649,7
427,144,Gadaladeniya Temple,Construction by King Buwanekabahu IV,1344 AD,Built with Dravidian architectural influence.,7.2575,80.556,7
428,144,Gadaladeniya Temple,Sculpture Additions,1400 AD,Stone carvings added.,7.2575,80.556,7
429,144,Gadaladeniya Temple,UNESCO Study,1975 AD,Architectural research conducted.,7.2575,80.556,7
430,145,Degaldoruwa Temple,Construction by Kings,1700 AD,Kandyan era rock temple.,7.3045,80.6644,7
431,145,Degaldoruwa Temple,Wall Paintings,1800 AD,Famous murals created.,7.3045,80.6644,7
432,145,Degaldoruwa Temple,Conservation,2005 AD,Paintings restored.,7.3045,80.6644,7
433,146,Embekka Devalaya,Construction,1300 AD,Built for God Kataragama.,7.2179,80.5677,7
434,146,Embekka Devalaya,Wood Carving Production,1400 AD,Known for world-renowned carvings.,7.2179,80.5677,7
435,146,Embekka Devalaya,Declared Heritage,1980 AD,Protected for unique wood architecture.,7.2179,80.5677,7
436,147,Madawala Ancient Ruins,Settlement Establishment,900 AD,Village built near river.,7.3,80.733,7
437,147,Madawala Ancient Ruins,Pottery Found,1200 AD,Research team uncovered artifacts.,7.3,80.733,7
438,147,Madawala Ancient Ruins,Conservation,1990 AD,Area designated for preservation.,7.3,80.733,7
439,148,Galagedara Ambalama,Construction,1700 AD,Rest house for travelers.,7.3833,80.5,7
440,148,Galagedara Ambalama,Kingdom Era Usage,1800 AD,Used by Kandyan nobles.,7.3833,80.5,7
441,148,Galagedara Ambalama,Preservation,1985 AD,Restored by archaeology dept.,7.3833,80.5,7
442,149,Dedduwa Ancient Temple,Construction Period,1300 AD,Kandyan era temple.,6.366,80.02,3
443,149,Dedduwa Ancient Temple,Murals Added,1600 AD,Interior paintings completed.,6.366,80.02,3
444,149,Dedduwa Ancient Temple,Restoration,1990 AD,Temple conservation completed.,6.366,80.02,3
445,150,Aluthnuwara Devalaya,Establishment,1400 AD,Built for deity Dedimunda.,7.2,80.65,7
446,150,Aluthnuwara Devalaya,Ritual Expansion,1600 AD,Cultural rituals strengthened.,7.2,80.65,7
447,150,Aluthnuwara Devalaya,Restoration Work,1980 AD,Shrine renovated.,7.2,80.65,7
448,151,Narangamuwa Ancient Temple,Construction,900 AD,Monastery established in Kurunegala.,7.5833,80.3667,7
449,151,Narangamuwa Ancient Temple,Cave Shrine Painted,1200 AD,Murals painted in early Kandyan style.,7.5833,80.3667,7
450,151,Narangamuwa Ancient Temple,Conservation,1995 AD,Area protected by govt.,7.5833,80.3667,7
451,152,Padeniya Raja Maha Viharaya,Construction,1300 AD,Temple built during Kurunegala era.,7.6,80.3167,7
452,152,Padeniya Raja Maha Viharaya,Wooden Doorway Crafted,1500 AD,Intricate carvings created.,7.6,80.3167,7
453,152,Padeniya Raja Maha Viharaya,Restoration Project,1980 AD,Temple fully renovated.,7.6,80.3167,7
454,153,Ethagala Rock (Elephant Rock),Name Origin Event,1500 AD,Rock named for elephant-like shape.,7.4833,80.3667,7
455,153,Ethagala Rock (Elephant Rock),Monk Residence,1700 AD,Hermit monks lived in caves.,7.4833,80.3667,7
456,153,Ethagala Rock (Elephant Rock),Tourist Improvements,2000 AD,Viewing platform constructed.,7.4833,80.3667,7
457,154,Panavitiya Ambalama,Construction,1700 AD,Rest hall famous for wooden carvings.,7.463,80.338,7
458,154,Panavitiya Ambalama,Carving Peak Era,1800 AD,Creation of exquisite carvings.,7.463,80.338,7
459,154,Panavitiya Ambalama,Restoration,2003 AD,Structures reinforced.,7.463,80.338,7
460,155,Bala Thampana Ancient Temple,Construction,1400 AD,Monastery established near forest.,7.55,80.3833,7
461,155,Bala Thampana Ancient Temple,Mural Development,1600 AD,Kandyan era paintings.,7.55,80.3833,7
462,155,Bala Thampana Ancient Temple,Conservation,1990 AD,Temple preserved.,7.55,80.3833,7
463,156,Ridi Viharaya (Silver Temple),Discovery of Silver Ore,200 AD,Silver found and gifted to kings.,7.7,80.5,7
464,156,Ridi Viharaya (Silver Temple),Construction of Main Shrine,200 AD,Built by King Dutugemunu.,7.7,80.5,7
465,156,Ridi Viharaya (Silver Temple),Murals Added,1700 AD,Kandyan painters decorated walls.,7.7,80.5,7
466,157,Hettipola Rock Inscription,Carving of Inscription,900 AD,Old Brahmi script inscription made.,7.6333,80.1833,11
467,157,Hettipola Rock Inscription,Rediscovery,1970 AD,Local villagers found carved rock.,7.6333,80.1833,11
468,157,Hettipola Rock Inscription,Conservation,2000 AD,Protected as archaeological site.,7.6333,80.1833,11
469,158,Melsiripura Stupa,Construction,1200 AD,Ancient stupa built in Kurunegala.,7.7,80.4167,7
470,158,Melsiripura Stupa,Restoration,1950 AD,Shrine restored.,7.7,80.4167,7
471,158,Melsiripura Stupa,Declared Sacred Area,2005 AD,Temple consecrated.,7.7,80.4167,7
472,159,Galgamuwa Ancient Wewa,Tank Construction,600 AD,Large irrigation reservoir created.,7.9833,80.25,2
473,159,Galgamuwa Ancient Wewa,Chena Cultivation Era,900 AD,Supported agriculture for centuries.,7.9833,80.25,2
474,159,Galgamuwa Ancient Wewa,Rehabilitation,2000 AD,Bund strengthened.,7.9833,80.25,2
475,160,Thalawa Rajamaha Viharaya,Construction,1300 AD,Temple built during kingdom era.,8.0667,80.1833,2
476,160,Thalawa Rajamaha Viharaya,Royal Patronage,1500 AD,Kings funded shrine development.,8.0667,80.1833,2
477,160,Thalawa Rajamaha Viharaya,Conservation,1985 AD,Temple repaired.,8.0667,80.1833,2
478,161,Eppawala Ancient Monastery,Founding Period,500 AD,Monastery located near mineral deposits.,8.15,80.4333,2
479,161,Eppawala Ancient Monastery,Buddhist Worship Peak,1000 AD,Temple gained regional importance.,8.15,80.4333,2
